tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
941,2019-01-01T13:35:24Z,2019-01-01T13:51:06Z,3579,Sterling Pl & Bedford Ave,40.672695,-73.954131,3409,Bergen St & Smith St,40.6867443,-73.99063168,34228,Subscriber,1987,2
324,2019-01-01T13:35:24Z,2019-01-01T13:40:48Z,407,Henry St & Poplar St,40.700469,-73.991454,217,Old Fulton St,40.70277159,-73.99383605,30907,Customer,1990,1
1778,2019-01-01T13:35:24Z,2019-01-01T14:05:02Z,315,South St & Gouverneur Ln,40.70355377,-74.00670227,358,Christopher St & Greenwich St,40.73291553,-74.00711384,15390,Customer,1994,2
1109,2019-01-01T13:35:27Z,2019-01-01T13:53:56Z,3425,2 Ave & E 104 St,40.7892105,-73.94370784,305,E 58 St & 3 Ave,40.76095756,-73.96724467,15514,Subscriber,1974,1
1196,2019-01-01T13:35:26Z,2019-01-01T13:55:22Z,334,W 20 St & 7 Ave,40.74238787,-73.99726235,462,W 22 St & 10 Ave,40.74691959,-74.00451887,18074,Subscriber,1973,1
1351,2019-01-01T13:35:30Z,2019-01-01T13:58:02Z,3427,Lafayette St & Jersey St,40.72430527250332,-73.99600982666016,402,Broadway & E 22 St,40.7403432,-73.98955109,35291,Customer,1988,1
1767,2019-01-01T13:35:31Z,2019-01-01T14:04:58Z,315,South St & Gouverneur Ln,40.70355377,-74.00670227,358,Christopher St & Greenwich St,40.73291553,-74.00711384,33231,Customer,1996,2
95,2019-01-01T13:35:34Z,2019-01-01T13:37:09Z,3016,Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,3016,Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,15675,Customer,1969,0
1128,2019-01-01T13:35:32Z,2019-01-01T13:54:21Z,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,3282,5 Ave & E 88 St,40.78307,-73.95939,16613,Customer,1989,2
1823,2019-01-01T13:35:38Z,2019-01-01T14:06:01Z,3310,14 St & 7 Ave,40.663779,-73.98396846,321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,14940,Subscriber,1971,1
772,2019-01-01T13:35:36Z,2019-01-01T13:48:28Z,509,9 Ave & W 22 St,40.7454973,-74.00197139,3258,W 27 St & 10 Ave,40.75018156325683,-74.00218427181244,31066,Customer,1969,0
959,2019-01-01T13:35:37Z,2019-01-01T13:51:36Z,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,402,Broadway & E 22 St,40.7403432,-73.98955109,32381,Subscriber,1994,2
